fakeDataSet,fakeParam_0,fakeParam_1,fakeParam_2,fakeParam_3,fakeParam_4,testAccuracy,runTime,testAccuracyStd
fakeDataSet_0,0,0,0,0,0,0.27737880624460615,0.7461453128512056,0.44250018847562433
fakeDataSet_0,0,0,0,0,1,0.3637776466120096,0.8651007337741106,0.23734567136966667
fakeDataSet_0,0,0,0,1,0,0.09521588894071759,0.4096543748843855,0.1705700333762925
fakeDataSet_0,0,0,0,1,1,0.05266499322533419,0.5424480619223823,0.6468836437939687
fakeDataSet_0,0,0,1,0,0,0.030148105558942095,0.6918400037575907,0.3166597335587863
fakeDataSet_0,0,0,1,0,1,0.4929034238022439,0.37660725656172345,0.44272300899930117
fakeDataSet_0,0,0,1,1,0,0.4037806219445487,0.7009593736325558,0.39718458444819416
fakeDataSet_0,0,0,1,1,1,0.44904864289864,0.41735782165306967,0.3523076489847218
fakeDataSet_0,0,1,0,0,0,0.1933093680531539,0.5073411154890227,0.2481838897020533
fakeDataSet_0,0,1,0,0,1,0.3908959860943681,0.511567426058502,0.8501098131562242
fakeDataSet_0,0,1,0,1,0,0.22890366364395348,0.9833735884637451,0.7078121935516641
fakeDataSet_0,0,1,0,1,1,0.29731933418908146,0.6489268658866861,0.5760483074450203
fakeDataSet_0,0,1,1,0,0,0.3308865734652498,0.537726579995674,0.8926145118348263
fakeDataSet_0,0,1,1,0,1,0.49302863506510974,0.13108420515278496,0.592473377251798
fakeDataSet_0,0,1,1,1,0,0.31827716190606775,0.9899285562391341,0.619731831307846
fakeDataSet_0,0,1,1,1,1,0.19458142612690477,0.17623404851654156,0.05400892605295149
fakeDataSet_0,1,0,0,0,0,0.5463738580153328,0.9610743336927908,0.11544583088319982
fakeDataSet_0,1,0,0,0,1,0.583046941060714,0.8113397476363599,0.7174364571794718
fakeDataSet_0,1,0,0,1,0,0.6053547289110495,0.10006167902605223,0.6705726195864411
fakeDataSet_0,1,0,0,1,1,0.6036332898718828,0.959757253275261,0.6028654518590026
fakeDataSet_0,1,0,1,0,0,0.9966210155143613,0.09511398997530818,0.7486189917093271
fakeDataSet_0,1,0,1,0,1,0.9649778519252441,0.9851820085330893,0.292778779557084
fakeDataSet_0,1,0,1,1,0,0.6056079595817232,0.27949851040572593,0.3363770028942299
fakeDataSet_0,1,0,1,1,1,0.93220012311464,0.902106555260154,0.5019218300790287
fakeDataSet_0,1,1,0,0,0,0.5866664002850516,0.5625079398581083,0.3094219973233985
fakeDataSet_0,1,1,0,0,1,0.8575620030118595,0.4905949974117825,0.9213248030195657
fakeDataSet_0,1,1,0,1,0,0.7873843113775242,0.8649764171296926,0.037563535799276515
fakeDataSet_0,1,1,0,1,1,0.6940207467033408,0.20862225720138283,0.8072861026790329
fakeDataSet_0,1,1,1,0,0,0.7197300904941992,0.6734068253316796,0.1648432655252442
fakeDataSet_0,1,1,1,0,1,0.8334512070788751,0.9941831827070167,0.5053277729328264
fakeDataSet_0,1,1,1,1,0,0.7535846044422776,0.6188980860590162,0.1047170222898951
fakeDataSet_0,1,1,1,1,1,0.8588624559537126,0.3530777717326814,0.5917577673529155
fakeDataSet_1,0,0,0,0,0,0.47624186873356916,0.7114879559015533,0.8635475288956838
fakeDataSet_1,0,0,0,0,1,0.12101913157912342,0.4325199499541429,0.5654305861121776
fakeDataSet_1,0,0,0,1,0,0.44493195550951714,0.007475984685202164,0.266763902906358
fakeDataSet_1,0,0,0,1,1,0.12874725035377915,0.06725087451216094,0.6014917261515461
fakeDataSet_1,0,0,1,0,0,0.39561745393130165,0.19355751281348976,0.8271818559821895
fakeDataSet_1,0,0,1,0,1,0.3728446844832183,0.4127374292632191,0.32268012372517807
fakeDataSet_1,0,0,1,1,0,0.48051138721491177,0.19376121478915154,0.5720589715819959
fakeDataSet_1,0,0,1,1,1,0.23747928426775106,0.96852776298316,0.867401180615666
fakeDataSet_1,0,1,0,0,0,0.36948993183598305,0.9234253779619269,0.8084390300847073
fakeDataSet_1,0,1,0,0,1,0.3835675127465478,0.04186762221413087,0.7546340190048532
fakeDataSet_1,0,1,0,1,0,0.18031644845821382,0.3269454742318675,0.4388079831022291
fakeDataSet_1,0,1,0,1,1,0.44343912443132477,0.6901236693875552,0.6511270831550979
fakeDataSet_1,0,1,1,0,0,0.013652033275765307,0.2757548866824949,0.5889428736504139
fakeDataSet_1,0,1,1,0,1,0.012191648794516341,0.05308418086235833,0.5488936863723816
fakeDataSet_1,0,1,1,1,0,0.2910010930294144,0.7884621834141818,0.4958832363253356
fakeDataSet_1,0,1,1,1,1,0.404274994978269,0.944082158441241,0.14048651590833106
fakeDataSet_1,1,0,0,0,0,0.8908543281245864,0.1356559627204007,0.8418536310791727
fakeDataSet_1,1,0,0,0,1,0.9356037591553877,0.8313471286394541,0.6026782103855071
fakeDataSet_1,1,0,0,1,0,0.8757495745836467,0.8391572024419742,0.08895967594422882
fakeDataSet_1,1,0,0,1,1,0.6606243200324892,0.40755958047917207,0.34736418187552665
fakeDataSet_1,1,0,1,0,0,0.7434716440426816,0.34815628461757586,0.8122586768139779
fakeDataSet_1,1,0,1,0,1,0.7870578435690991,0.011744575395358337,0.89611316077066
fakeDataSet_1,1,0,1,1,0,0.9230850451515369,0.0567605878858376,0.3335568817680984
fakeDataSet_1,1,0,1,1,1,0.8314528455613126,0.9344791950243337,0.027136583045059504
fakeDataSet_1,1,1,0,0,0,0.7017699025798686,0.37235168996849677,0.3299826083632277
fakeDataSet_1,1,1,0,0,1,0.6945598172185352,0.0567123451925744,0.5256520986815354
fakeDataSet_1,1,1,0,1,0,0.7760202385800234,0.49175694527691405,0.16902513293668486
fakeDataSet_1,1,1,0,1,1,0.8218866546979274,0.6414647520734374,0.2642323067640989
fakeDataSet_1,1,1,1,0,0,0.9639611339576051,0.7715856900007267,0.8767759210309513
fakeDataSet_1,1,1,1,0,1,0.6232612976579639,0.6716131527835882,0.4346792383849678
fakeDataSet_1,1,1,1,1,0,0.5615775988659013,0.5872996583760137,0.849357048945411
fakeDataSet_1,1,1,1,1,1,0.8253962033822082,0.8219468831259888,0.38340737922734236
fakeDataSet_2,0,0,0,0,0,0.20854676935780653,0.5716744683010677,0.8180023087725901
fakeDataSet_2,0,0,0,0,1,0.2539165016601558,0.6039278456552819,0.1207955855551065
fakeDataSet_2,0,0,0,1,0,0.0839699620795395,0.08956122920471954,0.05488897302834439
fakeDataSet_2,0,0,0,1,1,0.04104052848222017,0.32869016106152515,0.16408445232690427
fakeDataSet_2,0,0,1,0,0,0.06165692170312481,0.2834942410195681,0.5096301576012672
fakeDataSet_2,0,0,1,0,1,0.2432155641565037,0.11351607341497438,0.775595754430985
fakeDataSet_2,0,0,1,1,0,0.4648778219662869,0.10870229316253244,0.0042206424973715295
fakeDataSet_2,0,0,1,1,1,0.27757739593611164,0.24145364955856286,0.5226580866504219
fakeDataSet_2,0,1,0,0,0,0.0026878603134432577,0.29115260873503457,0.9763371763113887
fakeDataSet_2,0,1,0,0,1,0.49985865876303853,0.19480797689264584,0.7294583168221305
fakeDataSet_2,0,1,0,1,0,0.26986913378871424,0.7206597813310375,0.12239749457727944
fakeDataSet_2,0,1,0,1,1,0.0508195193353288,0.17980078172230773,0.19100322493057798
fakeDataSet_2,0,1,1,0,0,0.46445404417514025,0.04348108365337888,0.27571069012724325
fakeDataSet_2,0,1,1,0,1,0.0063913498760131415,0.45582254593471105,0.37938706926632504
fakeDataSet_2,0,1,1,1,0,0.11196159945388584,0.3234608602034784,0.7280236947640588
fakeDataSet_2,0,1,1,1,1,0.10746652887605235,0.9154539579618387,0.113394721925699
fakeDataSet_2,1,0,0,0,0,0.8393113144726148,0.8178165311194681,0.227198507567836
fakeDataSet_2,1,0,0,0,1,0.8693278592123408,0.6550568392923738,0.6573251687405753
fakeDataSet_2,1,0,0,1,0,0.7380518937850677,0.8127397760980506,0.05789173540331227
fakeDataSet_2,1,0,0,1,1,0.9385329349762157,0.23747946425259692,0.8802083071480638
fakeDataSet_2,1,0,1,0,0,0.6083685477206853,0.9291570841760451,0.5877376556846888
fakeDataSet_2,1,0,1,0,1,0.5670076734780071,0.6431662821416881,0.3050476515136473
fakeDataSet_2,1,0,1,1,0,0.9880769481550602,0.39747241575136116,0.04157698904718077
fakeDataSet_2,1,0,1,1,1,0.952082977810359,0.5480854129748057,0.3961340613359722
fakeDataSet_2,1,1,0,0,0,0.666654639603886,0.7672682262887383,0.28630443120689486
fakeDataSet_2,1,1,0,0,1,0.9126419464378978,0.029914193503319253,0.949266185427982
fakeDataSet_2,1,1,0,1,0,0.5184005736090717,0.40775086944284555,0.9092244798911913
fakeDataSet_2,1,1,0,1,1,0.8235328149476042,0.615025250730009,0.20158840224208796
fakeDataSet_2,1,1,1,0,0,0.5530303759397186,0.8661061317789818,0.2507213570846555
fakeDataSet_2,1,1,1,0,1,0.9837153851391003,0.11667922290838073,0.8663842520951542
fakeDataSet_2,1,1,1,1,0,0.7903365974483881,0.319581728187621,0.500080453650571
fakeDataSet_2,1,1,1,1,1,0.5649487781276555,0.6889939937400227,0.21388150109654447
fakeDataSet_3,0,0,0,0,0,0.3612204784575853,0.3292222670707313,0.891471694742451
fakeDataSet_3,0,0,0,0,1,0.049546006011299826,0.3727894100914042,0.6050860232562612
fakeDataSet_3,0,0,0,1,0,0.24477131692556026,0.4269070133955337,0.7213574347992295
fakeDataSet_3,0,0,0,1,1,0.22222184606079326,0.46035091434572983,0.8630526554660227
fakeDataSet_3,0,0,1,0,0,0.48295851189037997,0.9531487846049924,0.6712576750860574
fakeDataSet_3,0,0,1,0,1,0.25092840244460324,0.7523502286958093,0.1681523921060355
fakeDataSet_3,0,0,1,1,0,0.28270000850936144,0.48868285486801455,0.8269683877912937
fakeDataSet_3,0,0,1,1,1,0.2795807597010383,0.2823616207415357,0.7731701405102848
fakeDataSet_3,0,1,0,0,0,0.30507421312784055,0.3324003925315926,0.15065481288207583
fakeDataSet_3,0,1,0,0,1,0.475988259531137,0.9776211940464714,0.7337971143340652
